Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,Daily_Return,Volatility_20d,Target
2021-09-13 00:00:00-04:00,147.04689552955006,147.81809686029018,145.21161123932484,145.99258422851562,102404300,0.0,0.0,149.34095916748046,144.28784759521486,0.0038937492261816864,0.014188967060233539,0
2021-09-14 00:00:00-04:00,146.7735217186003,147.4763957492906,143.4153491043727,144.5965576171875,109296300,0.0,0.0,148.85285034179688,144.45125274658204,-0.009562311803063883,0.013988339269489641,1
2021-09-15 00:00:00-04:00,145.02610332343372,145.8851749521173,142.88819590848047,145.48492431640625,83281300,0.0,0.0,148.5795104980469,144.592265625,0.006143761053915675,0.014015895458692803,0
2021-09-16 00:00:00-04:00,144.90896023332135,145.42635157507343,143.71798000246844,145.25062561035156,68034100,0.0,0.0,148.21636199951172,144.67888061523436,-0.0016104672505112827,0.012711918055423283,0
2021-09-17 00:00:00-04:00,145.27991132028194,145.27991132028194,142.29268938190515,142.58555603027344,129868800,0.0,0.0,147.4754180908203,144.73812286376952,-0.018348076429133053,0.013411282868206401,0
2021-09-20 00:00:00-04:00,140.37936883525987,141.3946233415319,137.90955225490944,139.53982543945312,123478900,0.0,0.0,146.36644744873047,144.69999450683594,-0.021360723172925367,0.01397828396670996,1
2021-09-21 00:00:00-04:00,140.50624891873463,141.16032435989862,139.38361057442205,140.0181427001953,75834000,0.0,0.0,145.07198638916014,144.68332458496093,0.003427818970217489,0.013752168557550008,1
2021-09-22 00:00:00-04:00,141.01386330488788,142.94675948187773,140.28170408222925,142.3805694580078,76404300,0.0,0.0,144.1680160522461,144.69167877197265,0.01687229034933635,0.01438935959597617,1
2021-09-23 00:00:00-04:00,143.1615238009879,143.5813028239796,142.17555476827644,143.33724975585938,64838200,0.0,0.0,143.46123657226562,144.65073852539064,0.006719177353295525,0.014386424076300402,1
2021-09-24 00:00:00-04:00,142.19507259526048,143.96201429353556,142.09744541695585,143.4250946044922,53477900,0.0,0.0,143.26111297607423,144.6246173095703,0.0006128542914172197,0.014337126455923957,0
2021-09-27 00:00:00-04:00,142.0096450384804,142.48799456461782,140.39890024168955,141.91201782226562,74150700,0.0,0.0,142.85305633544922,144.60897827148438,-0.01054959584582471,0.01441028456900139,0
2021-09-28 00:00:00-04:00,139.84240736288436,141.30672576458994,138.31951860844126,138.53428649902344,108972300,0.0,0.0,142.2468292236328,144.60259582519532,-0.023801587596848583,0.013241545731915062,1
2021-09-29 00:00:00-04:00,139.08098176355122,141.013878143942,138.65144592439347,139.4324188232422,74602000,0.0,0.0,141.6415786743164,144.54204406738282,0.006483104990944399,0.013381049604045075,0
2021-09-30 00:00:00-04:00,140.24268621892764,140.9455603850025,137.91929578685694,138.13406372070312,89056700,0.0,0.0,140.92992248535157,144.470146484375,-0.009311716123816094,0.013332525744069956,1
2021-10-01 00:00:00-04:00,138.52449374270236,139.5202342750178,135.80086848455736,139.25665283203125,94639600,0.0,0.0,140.59703216552734,144.393408203125,0.008126808703738053,0.013361929504620623,0
2021-10-04 00:00:00-04:00,138.38788760314102,138.82719517325862,134.98091529074117,135.83021545410156,98322000,0.0,0.0,140.2260711669922,144.2138299560547,-0.024605197010318713,0.01401006229775583,1
2021-10-05 00:00:00-04:00,136.17186716291496,138.8564511470798,136.0449547897289,137.75332641601562,80861100,0.0,0.0,139.9995895385742,144.0643310546875,0.014158197095431202,0.01391005265251403,1
2021-10-06 00:00:00-04:00,136.15233067899587,138.76857249312508,135.07849119061893,138.6221466064453,83221100,0.0,0.0,139.62374725341797,143.9754867553711,0.006307072308409101,0.014084588388713466,1
2021-10-07 00:00:00-04:00,139.6569450430087,140.78935501402486,139.32503639848235,139.8814697265625,61732700,0.0,0.0,139.27816925048828,143.94672607421876,0.009084573792472517,0.014382683658560769,0
2021-10-08 00:00:00-04:00,140.60385709315267,140.7502829805711,139.16882381318146,139.500732421875,58773200,0.0,0.0,138.88573303222657,143.89748352050782,-0.0027218566221226537,0.01258618719858844,0
2021-10-11 00:00:00-04:00,138.88575464341304,141.3653278052875,138.43669034540312,139.41290283203125,64452200,0.0,0.0,138.6358215332031,143.8421954345703,-0.0006295994889700118,0.012515105999031257,0
