Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,Daily_Return,Volatility_20d,Target
2021-09-13 00:00:00-04:00,140.7018527362788,141.6935625224341,140.00850740514775,141.0814971923828,22094000,0.0,0.0,142.36273498535155,134.17913192749023,0.010338745166809105,0.00991953913168458,1
2021-09-14 00:00:00-04:00,141.73866598781828,142.10294377890315,140.50411441226078,141.2916259765625,19674000,0.0,0.0,142.15993041992186,134.52183303833007,0.0014894141922321413,0.009901614412943013,1
2021-09-15 00:00:00-04:00,141.51664778400357,143.1808915102632,140.10516764345076,143.1600799560547,27408000,0.0,0.0,142.13336791992188,134.88341735839845,0.013224095671473979,0.009695038103807967,0
2021-09-16 00:00:00-04:00,142.68527016924585,143.03170083482422,141.14988885441545,142.34776306152344,26190000,0.0,0.0,141.97422943115234,135.2231251525879,-0.005674185811998744,0.009516906226623727,0
2021-09-17 00:00:00-04:00,141.7733797216764,142.18918733159688,139.23538335972722,139.56248474121094,53384000,0.0,0.0,141.72771759033202,135.53547576904296,-0.01956671647245123,0.010771911257591232,0
2021-09-20 00:00:00-04:00,136.9471499261735,137.77828102826925,135.1238250653687,137.500244140625,46518000,0.0,0.0,141.23013000488282,135.79717483520508,-0.01477646807743449,0.011059857699191884,1
2021-09-21 00:00:00-04:00,138.5212142285647,138.78092005656075,137.0626508817225,137.81101989746094,25332000,0.0,0.0,140.70999450683593,136.0362057495117,0.002260183309333641,0.010186520833725125,1
2021-09-22 00:00:00-04:00,138.07960825207437,139.64868731901853,137.33371982330885,139.0504913330078,25056000,0.0,0.0,140.3722396850586,136.29277053833007,0.008993993633231279,0.010199864674959999,1
2021-09-23 00:00:00-04:00,139.74833097489636,140.45109904539308,139.16748291766282,139.97482299804688,20952000,0.0,0.0,140.14178466796875,136.55006927490234,0.006647453426291028,0.010228659958816208,1
2021-09-24 00:00:00-04:00,139.30324860172112,141.07950537458137,139.00836284376217,140.9650115966797,22984000,0.0,0.0,140.27450408935547,136.8515953063965,0.007074047871070466,0.010303131925462889,0
2021-09-27 00:00:00-04:00,139.56692635866548,140.69096191409616,138.83640458295432,139.8320770263672,21882000,0.0,0.0,140.1495620727539,137.13115661621094,-0.00803699128939872,0.009558021114476494,0
2021-09-28 00:00:00-04:00,137.43633701546565,137.8739544208415,134.1702991315136,134.63616943359375,45772000,0.0,0.0,139.48401641845703,137.35421920776366,-0.03715819505272511,0.012426047831836482,0
2021-09-29 00:00:00-04:00,135.7760328990303,135.94553512593572,132.68842135183831,133.17262268066406,30848000,0.0,0.0,138.48527069091796,137.5156672668457,-0.010870383189649169,0.012510787457364985,0
2021-09-30 00:00:00-04:00,133.08143210735338,134.35116361737062,132.3821276786133,132.50106811523438,37996000,0.0,0.0,137.50060119628907,137.63712982177734,-0.005042737402867092,0.012397439489082314,1
2021-10-01 00:00:00-04:00,133.26579353336834,135.70715804170354,132.8945886396275,135.34288024902344,35360000,0.0,0.0,137.07864074707032,137.79813262939453,0.021447465852256986,0.013426964351280997,0
2021-10-04 00:00:00-04:00,134.7654966784679,134.7654966784679,129.89816454860028,132.48472595214844,51202000,0.0,0.0,136.57708892822265,137.81090881347657,-0.021117876992244877,0.01399099659835575,1
2021-10-05 00:00:00-04:00,132.8628491763114,136.0183700328566,132.8628491763114,134.82742309570312,32404000,0.0,0.0,136.2787292480469,137.85031860351563,0.017682771555121324,0.014701317365419842,1
2021-10-06 00:00:00-04:00,133.5656355859823,136.53926754708024,133.3673964801773,136.35589599609375,24364000,0.0,0.0,136.00926971435547,137.96262329101563,0.011336513487361533,0.01503320082502323,1
